City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Nanakuli,US,21.3906,-158.1547,78.8,53,75,10.36,light rain
323,Goba,ET,7.0167,39.9833,50.4,85,64,3.11,broken clouds
324,Labuhan,ID,-6.8844,112.2051,77.52,86,54,4.72,broken clouds
325,Nyagan,RU,62.1406,65.3936,34.97,89,9,9.8,clear sky
326,Xian,CN,34.2583,108.9286,54.0,93,87,1.54,overcast clouds
327,Oranjemund,NA,-28.55,16.4333,63.05,74,0,4.05,clear sky
328,Moose Factory,CA,51.2585,-80.6094,39.2,93,90,9.22,overcast clouds
329,Grand Baie,MU,-20.0182,57.5802,79.0,81,96,5.01,light rain
330,Borogontsy,RU,62.6683,131.1683,11.89,93,100,3.6,light snow
331,Acajutla,SV,13.5928,-89.8275,81.0,83,7,5.01,clear sky
332,Foz,ES,43.5692,-7.2544,51.01,84,4,10.0,clear sky
333,Khor,RU,47.8861,134.9464,45.07,86,100,5.03,light rain
334,Mlimba,TZ,-8.8,35.8167,69.1,97,70,1.32,light rain
335,Oussouye,SN,12.485,-16.5469,77.0,83,0,4.61,clear sky
336,Snezhnogorsk,RU,69.1933,33.2531,33.8,69,0,6.71,clear sky
337,Edson,CA,53.5835,-116.4356,39.2,30,75,14.97,broken clouds
338,Tommot,RU,58.9564,126.2925,12.52,92,100,9.6,light snow
339,Trofors,NO,65.5333,13.4063,32.0,93,75,1.14,broken clouds
340,Rapid Valley,US,44.0625,-103.1463,46.4,46,75,32.21,broken clouds
341,Shache,CN,38.4167,77.2406,54.73,23,19,5.3,few clouds
342,Korla,CN,41.7597,86.1469,52.34,42,36,19.24,scattered clouds
343,Nome,US,64.5011,-165.4064,25.0,86,90,28.77,snow
344,Caceres,ES,39.522,-6.3748,54.72,77,50,0.45,scattered clouds
345,Grindavik,IS,63.8424,-22.4338,37.4,87,75,17.27,broken clouds
